NAME,OVERALL_PICK,PLAYER_ID
Jamison Brewer,41,2249
Bobby Simmons,42,2250
Sean Lampley,45,2253
Loren Woods,46,2254
Antonis Fotsis,48,2238
Ken Johnson,49,2256
Ruben Boumtje-Boumtje,50,2257
Alton Ford,51,2228
Jarron Collins,53,2260
Kenny Satterfield,54,2261
Alvin Jones,57,2264
Yao Ming,1,2397
Jay Williams,2,2398
Mike Dunleavy,3,2399
Drew Gooden,4,2400
Nikoloz Tskitishvili,5,2401
Dajuan Wagner,6,2402
Chris Wilcox,8,2404
Amar'e Stoudemire,9,2405
Caron Butler,10,2406
Jared Jeffries,11,2407
Melvin Ely,12,2408
Marcus Haislip,13,2409
Fred Jones,14,2410
Juan Dixon,17,2413
Curtis Borchardt,18,2414
Ryan Humphrey,19,2415
Kareem Rush,20,2416
Qyntel Woods,21,2417
Casey Jacobsen,22,2418
Tayshaun Prince,23,2419
Frank Williams,25,2421
John Salmons,26,2422
Chris Jefferies,27,2423
Dan Dickau,28,2424
Roger Mason,31,2427
Robert Archibald,32,2425
Vincent Yarbrough,33,2428
Dan Gadzuric,34,2429
Carlos Boozer,35,2430
David Andersen,37,2431
Tito Maddox,38,2432
Juan Carlos Navarro,40,2434
Mario Kasun,41,2435
Lonny Baxter,44,2437
Matt Barnes,46,2440
Jamal Sampson,47,2441
Chris Owens,48,2442
Darius Songaila,50,2443
Rasual Butler,53,2446
Tamar Slay,54,2447
Luis Scola,56,2449
Randy Holcomb,57,2450
Corsley Edwards,58,2451
LeBron James,1,2544
Carmelo Anthony,3,2546
Chris Bosh,4,2547
Dwyane Wade,5,2548
Chris Kaman,6,2549
Kirk Hinrich,7,2550
T.J. Ford,8,2551
Jarvis Hayes,10,2553
Nick Collison,12,2555
Marcus Banks,13,2556
Luke Ridnour,14,2557
Reece Gaines,15,2558
Troy Bell,16,2559
David West,18,2561
Dahntay Jones,20,2563
Boris Diaw,21,2564
Travis Outlaw,23,2566
Brian Cook,24,2567
Carlos Delfino,25,2568
Ndudi Ebi,26,2569
Kendrick Perkins,27,2570
Leandro Barbosa,28,2571
Josh Howard,29,2572
Maciej Lampe,30,2573
Jason Kapono,31,2574
Luke Walton,32,2575
Jerome Beasley,33,2602
Travis Hansen,37,2580
Steve Blake,38,2581
Derrick Zimmerman,40,2583
Willie Green,41,2584
Zaza Pachulia,42,2585
Keith Bogans,43,2586
Matt Bonner,45,2588
Mo Williams,47,2590
James Lang,48,2591
James Jones,49,2592
Kyle Korver,51,2594
Brandon Hunter,56,2599
Andreas Glyniadakis,58,2601
Dwight Howard,1,2730
Emeka Okafor,2,2731
Ben Gordon,3,2732
Shaun Livingston,4,2733
Devin Harris,5,2734
Josh Childress,6,2735
Luol Deng,7,2736
Andre Iguodala,9,2738
Luke Jackson,10,2739
Robert Swift,12,2741
Sebastian Telfair,13,2742
Kris Humphries,14,2743
Al Jefferson,15,2744
Kirk Snyder,16,2745
Josh Smith,17,2746
Dorell Wright,19,2748
Jameer Nelson,20,2749
Pavel Podkolzin,21,2750
Viktor Khryapa,22,2751
Sergei Monia,23,2752
Delonte West,24,2753
Tony Allen,25,2754
Kevin Martin,26,2755
Beno Udrih,28,2757
David Harrison,29,2758
Jackson Vroman,31,2761
Peter John Ramos,32,2762
Lionel Chalmers,33,2763
Donta Smith,34,2764
Andre Emmett,35,2765
Antonio Burks,36,2766
Royal Ivey,37,2767
Chris Duhon,38,2768
Justin Reed,40,2770
Trevor Ariza,43,2772
Bernard Robinson,45,2774
Ha Seung-Jin,46,2775
Pape Sow,47,2776
Vassilis Spanoulis,50,2779
Matt Freije,53,2782
Luis Flores,55,2784
Andrew Bogut,1,101106
Marvin Williams,2,101107
Deron Williams,3,101114
Chris Paul,4,101108
Raymond Felton,5,101109
Martell Webster,6,101110
Charlie Villanueva,7,101111
Channing Frye,8,101112
Ike Diogu,9,101113
Andrew Bynum,10,101115
Yaroslav Korolev,12,101117
Sean May,13,101118
Rashad McCants,14,101119
Antoine Wright,15,101120
Joey Graham,16,101121
Danny Granger,17,101122
Gerald Green,18,101123
Hakim Warrick,19,101124
Julius Hodge,20,101125
Nate Robinson,21,101126
Jarrett Jack,22,101127
Luther Head,24,101129
Johan Petro,25,101130
Jason Maxiell,26,101131
Linas Kleiza,27,101132
Ian Mahinmi,28,101133
Wayne Simien,29,101134
David Lee,30,101135
Salim Stoudamire,31,101136
Daniel Ewing,32,101137
Brandon Bass,33,101138
Ersan İlyasova,36,101141
Ronny Turiaf,37,101142
Travis Diener,38,101143
Von Wafer,39,101144
Monta Ellis,40,101145
Chris Taft,42,101147
Lou Williams,45,101150
Bracey Wright,47,101152
Andray Blatche,49,101154
Ryan Gomes,50,101155
Robert Whaley,51,101156
Orien Greene,53,101158
Dijon Thompson,54,101159
Lawrence Roberts,55,101160
Amir Johnson,56,101161
Marcin Gortat,57,101162
Alex Acker,60,101165
Andrea Bargnani,1,200745
LaMarcus Aldridge,2,200746
Adam Morrison,3,200747
Tyrus Thomas,4,200748
Shelden Williams,5,200749
Brandon Roy,6,200750
Randy Foye,7,200751
Rudy Gay,8,200752
Patrick O'Bryant,9,200753
Mouhamed Sene,10,200754
Hilton Armstrong,12,200756
Thabo Sefolosha,13,200757
Ronnie Brewer,14,200758
Cedric Simmons,15,200759
Rodney Carney,16,200760
Shawne Williams,17,200761
Oleksiy Pecherov,18,200762
Quincy Douby,19,200763
Renaldo Balkman,20,200764
Rajon Rondo,21,200765
Marcus Williams,22,200766
Josh Boone,23,200767
Kyle Lowry,24,200768
Shannon Brown,25,200769
Jordan Farmar,26,200770
Maurice Ager,28,200772
Mardy Collins,29,200776
Joel Freeland,30,200777
James White,31,200778
Steve Novak,32,200779
Solomon Jones,33,200780
Paul Davis,34,200781
P.J. Tucker,35,200782
Craig Smith,36,200783
Bobby Jones,37,77193
David Noel,39,200786
James Augustine,41,200788
Daniel Gibson,42,200789
Marcus Vinicius,43,200790
Alexander Johnson,45,200792
Dee Brown,46,244
Paul Millsap,47,200794
Leon Powe,49,200796
Ryan Hollins,50,200797
Cheikh Samb,51,200798
Hassan Adams,54,200801
Damir Markota,59,200806
Will Blalock,60,200807
Greg Oden,1,201141
Kevin Durant,2,201142
Al Horford,3,201143
Mike Conley,4,201144
